rank,score,camera,captured_at,path,confidence,area_fraction,clipped,sharpness,visit_frames,visit_start,visit_end
21,0.327,wildlifecam10,2026-09-08T06:57:00.158408,wildlifecam10/2026-09-08/065700.jpg,0.960,0.0058,0,683.8,12,2026-09-08T06:56:19.555571,2026-09-08T06:57:04.194211
22,0.324,wildlifecam4,2026-09-11T09:30:46.345043,wildlifecam4/2026-09-11/093046.jpg,0.948,0.0059,0,952.8,47,2026-09-11T09:29:52.584363,2026-09-11T09:31:42.084110
23,0.323,wildlifecam10,2026-09-08T06:54:53.829540,wildlifecam10/2026-09-08/065453.jpg,0.938,0.0059,0,697.8,9,2026-09-08T06:54:51.807235,2026-09-08T06:55:07.988414
24,0.322,wildlifecam4,2026-09-04T12:19:03.668151,wildlifecam4/2026-09-04/121903.jpg,0.899,0.0099,0,503.4,9,2026-09-04T12:18:52.939251,2026-09-04T12:19:10.101774
25,0.319,wildlifecam4,2026-09-11T08:21:55.225699,wildlifecam4/2026-09-11/082155.jpg,0.878,0.0115,0,475.8,14,2026-09-11T08:21:25.227928,2026-09-11T08:21:55.225699
26,0.317,wildlifecam4,2026-08-25T10:05:41.761570,wildlifecam4/2026-08-25/100541.jpg,0.955,0.0292,0,272.2,13,2026-08-25T10:05:33.196080,2026-08-25T10:06:03.592269
27,0.317,wildlifecam4,2026-09-05T10:32:36.195718,wildlifecam4/2026-09-05/103236.jpg,0.852,0.0069,0,755.5,12,2026-09-05T10:32:21.125760,2026-09-05T10:32:49.113489
28,0.313,wildlifecam4,2026-08-28T07:22:32.701896,wildlifecam4/2026-08-28/072232.jpg,0.941,0.0063,0,587.9,15,2026-08-28T07:22:06.936747,2026-08-28T07:22:36.986669
29,0.311,wildlifecam4,2026-09-10T11:43:25.548874,wildlifecam4/2026-09-10/114325.jpg,0.927,0.0076,0,539.1,7,2026-09-10T11:43:14.797360,2026-09-10T11:43:27.737952
30,0.308,wildlifecam4,2026-09-11T06:53:33.637555,wildlifecam4/2026-09-11/065333.jpg,0.931,0.0055,0,782.6,48,2026-09-11T06:52:58.668250,2026-09-11T06:55:45.522829
31,0.296,wildlifecam4,2026-08-25T10:03:51.346895,wildlifecam4/2026-08-25/100351.jpg,0.926,0.0051,0,711.1,7,2026-08-25T10:03:47.085000,2026-08-25T10:03:59.886447
32,0.296,wildlifecam10,2026-09-08T09:08:17.316712,wildlifecam10/2026-09-08/090817.jpg,0.916,0.0052,0,707.1,16,2026-09-08T09:08:02.290526,2026-09-08T09:09:04.027996
33,0.295,wildlifecam4,2026-09-04T13:56:18.760066,wildlifecam4/2026-09-04/135618.jpg,0.804,0.0067,0,1129.7,1,2026-09-04T13:56:18.760066,2026-09-04T13:56:18.760066
34,0.294,wildlifecam4,2026-09-11T10:51:43.734030,wildlifecam4/2026-09-11/105143.jpg,0.957,0.0047,0,1046.3,17,2026-09-11T10:51:21.713069,2026-09-11T10:51:56.603428
35,0.292,wildlifecam4,2026-08-29T06:54:31.366564,wildlifecam4/2026-08-29/065431.jpg,0.973,0.0501,0,169.9,1,2026-08-29T06:54:31.366564,2026-08-29T06:54:31.366564
36,0.290,wildlifecam4,2026-08-27T15:42:49.753750,wildlifecam4/2026-08-27/154249.jpg,0.954,0.0065,0,526.7,17,2026-08-27T15:42:10.302259,2026-08-27T15:42:56.263425
37,0.289,wildlifecam4,2026-09-08T08:27:03.064970,wildlifecam4/2026-09-08/082703.jpg,0.899,0.0052,0,737.0,6,2026-09-08T08:26:52.371830,2026-09-08T08:27:03.064970
38,0.285,wildlifecam4,2026-09-07T07:04:45.291930,wildlifecam4/2026-09-07/070445.jpg,0.898,0.0050,0,719.7,6,2026-09-07T07:04:38.882044,2026-09-07T07:04:53.883811
39,0.285,wildlifecam4,2026-08-26T11:33:15.608759,wildlifecam4/2026-08-26/113315.jpg,0.917,0.0060,0,559.8,5,2026-08-26T11:33:15.608759,2026-08-26T11:33:25.528037
40,0.284,wildlifecam4,2026-09-05T06:58:29.538188,wildlifecam4/2026-09-05/065829.jpg,0.879,0.0052,0,833.0,4,2026-09-05T06:58:27.415958,2026-09-05T06:58:35.972853
41,0.284,wildlifecam10,2026-08-31T07:08:56.358518,wildlifecam10/2026-08-31/070856.jpg,0.949,0.0055,0,564.8,18,2026-08-31T07:08:00.532349,2026-08-31T07:09:10.574016
42,0.282,wildlifecam4,2026-09-06T08:19:00.752448,wildlifecam4/2026-09-06/081900.jpg,0.953,0.0057,0,548.7,5,2026-09-06T08:18:50.082207,2026-09-06T08:19:02.896756
43,0.282,wildlifecam4,2026-09-07T08:47:38.986007,wildlifecam4/2026-09-07/084738.jpg,0.933,0.0046,0,1077.9,12,2026-09-07T08:47:25.312228,2026-09-07T08:47:52.345101
44,0.278,wildlifecam4,2026-09-03T07:08:57.247437,wildlifecam4/2026-09-03/070857.jpg,0.891,0.0049,0,741.8,16,2026-09-03T07:07:52.589748,2026-09-03T07:09:54.740208
45,0.269,wildlifecam4,2026-09-06T06:47:34.945857,wildlifecam4/2026-09-06/064734.jpg,0.859,0.0049,0,692.6,15,2026-09-06T06:46:24.547952,2026-09-06T06:49:01.101325
46,0.269,wildlifecam4,2026-09-01T06:59:46.622959,wildlifecam4/2026-09-01/065946.jpg,0.840,0.0051,0,638.7,3,2026-09-01T06:59:40.195768,2026-09-01T06:59:46.622959
47,0.269,wildlifecam4,2026-08-25T09:48:36.764732,wildlifecam4/2026-08-25/094836.jpg,0.867,0.0048,0,626.4,4,2026-08-25T09:48:22.312623,2026-08-25T09:48:36.764732
48,0.269,wildlifecam4,2026-09-02T09:00:32.633182,wildlifecam4/2026-09-02/090032.jpg,0.843,0.0051,0,903.2,4,2026-09-02T09:00:28.335001,2026-09-02T09:00:35.545317
49,0.269,wildlifecam4,2026-09-11T08:17:28.209784,wildlifecam4/2026-09-11/081728.jpg,0.931,0.0042,0,955.1,18,2026-09-11T08:16:53.907825,2026-09-11T08:17:30.342420
50,0.265,wildlifecam4,2026-09-09T08:55:58.889706,wildlifecam4/2026-09-09/085558.jpg,0.909,0.0043,0,647.8,4,2026-09-09T08:55:54.621518,2026-09-09T08:56:01.037569
51,0.265,wildlifecam10,2026-09-09T06:52:49.596730,wildlifecam10/2026-09-09/065249.jpg,0.926,0.0041,0,623.6,3,2026-09-09T06:52:45.557008,2026-09-09T06:52:49.596730
52,0.264,wildlifecam10,2026-08-29T06:51:46.676362,wildlifecam10/2026-08-29/065146.jpg,0.952,0.0053,0,532.8,26,2026-08-29T06:48:58.691053,2026-08-29T06:52:25.413993
53,0.264,wildlifecam4,2026-09-10T11:30:24.799018,wildlifecam4/2026-09-10/113024.jpg,0.819,0.0052,0,944.0,5,2026-09-10T11:30:16.717865,2026-09-10T11:30:29.082177
54,0.264,wildlifecam10,2026-09-08T09:06:05.344361,wildlifecam10/2026-09-08/090605.jpg,0.883,0.0045,0,855.5,9,2026-09-08T09:04:59.974583,2026-09-08T09:06:05.344361
55,0.259,wildlifecam10,2026-09-06T06:47:38.248688,wildlifecam10/2026-09-06/064738.jpg,0.948,0.0056,0,511.9,13,2026-09-06T06:46:28.620393,2026-09-06T06:49:03.085445
56,0.256,wildlifecam4,2026-09-07T11:33:37.464194,wildlifecam4/2026-09-07/113337.jpg,0.841,0.0046,0,807.8,6,2026-09-07T11:33:35.337931,2026-09-07T11:33:46.285766
57,0.255,wildlifecam10,2026-09-04T12:19:12.825952,wildlifecam10/2026-09-04/121912.jpg,0.898,0.0040,0,674.9,6,2026-09-04T12:18:54.995541,2026-09-04T12:19:12.825952
58,0.251,wildlifecam10,2026-09-03T07:08:56.838682,wildlifecam10/2026-09-03/070856.jpg,0.947,0.0048,0,536.3,14,2026-09-03T07:07:53.797564,2026-09-03T07:09:46.159670
59,0.250,wildlifecam4,2026-09-10T08:32:09.288828,wildlifecam4/2026-09-10/083209.jpg,0.892,0.0039,0,671.3,6,2026-09-10T08:32:09.288828,2026-09-10T08:32:22.119594
60,0.248,wildlifecam10,2026-08-28T07:22:29.227870,wildlifecam10/2026-08-28/072229.jpg,0.962,0.0075,0,416.4,18,2026-08-28T07:22:08.115606,2026-08-28T07:22:56.229093
61,0.247,wildlifecam10,2026-09-02T09:00:29.749488,wildlifecam10/2026-09-02/090029.jpg,0.939,0.0053,0,508.2,4,2026-09-02T09:00:23.341329,2026-09-02T09:00:29.749488
62,0.247,wildlifecam10,2026-09-07T07:04:52.493487,wildlifecam10/2026-09-07/070452.jpg,0.884,0.0039,0,714.7,8,2026-09-07T07:04:44.399835,2026-09-07T07:05:52.996920
63,0.245,wildlifecam4,2026-09-12T06:56:51.223604,wildlifecam4/2026-09-12/065651.jpg,0.942,0.0081,0,403.4,8,2026-09-12T06:56:46.930552,2026-09-12T06:57:01.969808
64,0.245,wildlifecam10,2026-09-08T08:27:12.676617,wildlifecam10/2026-09-08/082712.jpg,0.920,0.0035,0,671.9,3,2026-09-08T08:27:08.555456,2026-09-08T08:27:12.676617
65,0.242,wildlifecam1,2026-08-13T11:22:42,wildlifecam1/2026-08-13/112242.jpg,0.888,0.0339,1,345.1,1,2026-08-13T11:22:42,2026-08-13T11:22:42
66,0.241,wildlifecam4,2026-08-27T06:43:31.615602,wildlifecam4/2026-08-27/064331.jpg,0.858,0.0057,0,520.0,7,2026-08-27T06:43:07.992809,2026-08-27T06:43:36.417808
67,0.234,wildlifecam4,2026-09-05T10:21:20.362272,wildlifecam4/2026-09-05/102120.jpg,0.889,0.0035,0,680.8,16,2026-09-05T10:21:03.917426,2026-09-05T10:21:46.633634
68,0.234,wildlifecam4,2026-09-11T17:37:27.263000,wildlifecam4/2026-09-11/training/train_173727_263.jpg,0.832,0.0051,0,548.2,2,2026-09-11T17:37:21.710000,2026-09-11T17:37:27.263000
69,0.229,wildlifecam4,2026-09-12T07:36:50.223371,wildlifecam4/2026-09-12/073650.jpg,0.929,0.0030,0,727.3,8,2026-09-12T07:36:00.225391,2026-09-12T07:36:54.748819
70,0.226,wildlifecam4,2026-09-10T08:27:37.391342,wildlifecam4/2026-09-10/082737.jpg,0.892,0.0051,0,495.9,3,2026-09-10T08:27:33.121317,2026-09-10T08:27:37.391342
71,0.226,wildlifecam4,2026-09-08T16:55:29.299063,wildlifecam4/2026-09-08/165529.jpg,0.853,0.0035,0,694.0,1,2026-09-08T16:55:29.299063,2026-09-08T16:55:29.299063
72,0.226,wildlifecam10,2026-08-28T07:20:11.439857,wildlifecam10/2026-08-28/072011.jpg,0.898,0.0032,0,787.0,4,2026-08-28T07:20:09.332898,2026-08-28T07:20:15.489908
73,0.226,wildlifecam4,2026-09-12T08:51:05.316000,wildlifecam4/2026-09-12/085105.jpg,0.928,0.0070,0,406.4,4,2026-09-12T08:50:57.009215,2026-09-12T08:51:05.316000
74,0.225,wildlifecam4,2026-08-28T07:20:14.100022,wildlifecam4/2026-08-28/072014.jpg,0.844,0.0036,0,964.4,6,2026-08-28T07:20:11.973362,2026-08-28T07:20:24.520186
75,0.221,wildlifecam4,2026-08-27T08:21:39.240996,wildlifecam4/2026-08-27/082139.jpg,0.822,0.0036,0,940.7,1,2026-08-27T08:21:39.240996,2026-08-27T08:21:39.240996
76,0.221,wildlifecam4,2026-09-12T08:53:28.484854,wildlifecam4/2026-09-12/085328.jpg,0.970,0.0288,0,71.7,4,2026-09-12T08:53:23.890606,2026-09-12T08:53:30.613050
77,0.220,wildlifecam4,2026-09-07T18:42:06.445177,wildlifecam4/2026-09-07/184206.jpg,0.803,0.0037,0,709.4,1,2026-09-07T18:42:06.445177,2026-09-07T18:42:06.445177
78,0.218,wildlifecam10,2026-09-07T11:33:43.614561,wildlifecam10/2026-09-07/113343.jpg,0.874,0.0039,0,556.3,3,2026-09-07T11:33:43.614561,2026-09-07T11:33:48.557318
79,0.217,wildlifecam10,2026-09-01T06:59:42.730380,wildlifecam10/2026-09-01/065942.jpg,0.911,0.0039,0,531.9,4,2026-09-01T06:59:38.672209,2026-09-01T06:59:44.763909
80,0.217,wildlifecam4,2026-08-31T07:56:55.202754,wildlifecam4/2026-08-31/075655.jpg,0.874,0.0031,0,728.8,2,2026-08-31T07:56:55.202754,2026-08-31T07:57:14.185661
81,0.215,wildlifecam4,2026-09-07T09:11:09.265485,wildlifecam4/2026-09-07/091109.jpg,0.938,0.0049,0,459.0,3,2026-09-07T09:11:02.846984,2026-09-07T09:11:09.265485
82,0.214,wildlifecam10,2026-09-05T10:32:47.398000,wildlifecam10/2026-09-05/training/train_103247_398.jpg,0.920,0.0027,0,639.1,38,2026-09-05T10:32:23.432976,2026-09-05T10:32:58.889000
83,0.211,wildlifecam4,2026-08-26T09:23:01.003507,wildlifecam4/2026-08-26/092301.jpg,0.843,0.0031,0,1613.7,5,2026-08-26T09:23:01.003507,2026-08-26T09:23:09.578675
84,0.210,wildlifecam10,2026-09-08T07:40:45.175490,wildlifecam10/2026-09-08/074045.jpg,0.909,0.0028,0,610.5,1,2026-09-08T07:40:45.175490,2026-09-08T07:40:45.175490
85,0.209,wildlifecam10,2026-08-28T06:54:10.859375,wildlifecam10/2026-08-28/065410.jpg,0.915,0.0026,0,636.4,3,2026-08-28T06:54:08.836536,2026-08-28T06:54:13.558907
86,0.208,wildlifecam10,2026-09-09T08:56:07.629461,wildlifecam10/2026-09-09/085607.jpg,0.896,0.0027,0,877.7,3,2026-09-09T08:56:01.570662,2026-09-09T08:56:07.629461
87,0.205,wildlifecam4,2026-09-06T10:47:15.247974,wildlifecam4/2026-09-06/104715.jpg,0.860,0.0028,0,903.8,5,2026-09-06T10:47:10.919187,2026-09-06T10:47:19.513120
88,0.204,wildlifecam4,2026-09-10T10:34:34.030857,wildlifecam4/2026-09-10/103434.jpg,0.833,0.0030,0,822.0,3,2026-09-10T10:34:25.496027,2026-09-10T10:34:34.030857
89,0.203,wildlifecam4,2026-09-06T08:03:46.222495,wildlifecam4/2026-09-06/080346.jpg,0.962,0.0248,0,134.3,5,2026-09-06T08:03:44.048019,2026-09-06T08:03:54.236427
90,0.202,wildlifecam4,2026-09-12T08:00:35.076102,wildlifecam4/2026-09-12/080035.jpg,0.926,0.0042,0,473.4,9,2026-09-12T08:00:25.430332,2026-09-12T08:00:43.621306
91,0.199,wildlifecam10,2026-08-30T09:26:24.738821,wildlifecam10/2026-08-30/092624.jpg,0.885,0.0025,0,683.4,3,2026-08-30T09:26:22.714232,2026-08-30T09:26:27.078717
92,0.199,wildlifecam4,2026-09-03T09:39:28.353368,wildlifecam4/2026-09-03/093928.jpg,0.820,0.0029,0,971.2,1,2026-09-03T09:39:28.353368,2026-09-03T09:39:28.353368
93,0.198,wildlifecam4,2026-09-11T08:19:24.485628,wildlifecam4/2026-09-11/081924.jpg,0.887,0.0025,0,1179.8,2,2026-09-11T08:19:15.278599,2026-09-11T08:19:24.485628
94,0.198,wildlifecam10,2026-09-08T08:28:50.716796,wildlifecam10/2026-09-08/082850.jpg,0.880,0.0025,0,885.3,2,2026-09-08T08:28:50.716796,2026-09-08T08:28:57.410820
95,0.195,wildlifecam10,2026-09-10T08:27:55.921376,wildlifecam10/2026-09-10/082755.jpg,0.844,0.0027,0,818.8,7,2026-09-10T08:27:49.551821,2026-09-10T08:28:01.968078
96,0.195,wildlifecam4,2026-09-12T06:55:29.540746,wildlifecam4/2026-09-12/065529.jpg,0.830,0.0027,0,776.3,5,2026-09-12T06:55:29.540746,2026-09-12T06:55:38.140846
97,0.193,wildlifecam4,2026-08-29T06:48:27.982362,wildlifecam4/2026-08-29/064827.jpg,0.861,0.0025,0,846.0,6,2026-08-29T06:48:21.601840,2026-08-29T06:49:27.698215
98,0.191,wildlifecam10,2026-09-02T08:57:51.776466,wildlifecam10/2026-09-02/085751.jpg,0.871,0.0024,0,960.5,1,2026-09-02T08:57:51.776466,2026-09-02T08:57:51.776466
99,0.191,wildlifecam10,2026-09-03T09:39:28.909947,wildlifecam10/2026-09-03/093928.jpg,0.897,0.0023,0,669.8,1,2026-09-03T09:39:28.909947,2026-09-03T09:39:28.909947
100,0.191,wildlifecam4,2026-09-04T10:53:53.274284,wildlifecam4/2026-09-04/105353.jpg,0.846,0.0043,0,483.5,1,2026-09-04T10:53:53.274284,2026-09-04T10:53:53.274284
101,0.190,wildlifecam4,2026-09-11T08:14:43.967058,wildlifecam4/2026-09-11/081443.jpg,0.874,0.0024,0,1135.3,3,2026-09-11T08:14:37.849058,2026-09-11T08:14:43.967058
102,0.190,wildlifecam10,2026-09-10T08:32:33.473742,wildlifecam10/2026-09-10/083233.jpg,0.890,0.0023,0,912.8,8,2026-09-10T08:32:22.873452,2026-09-10T08:32:39.538872
103,0.189,wildlifecam10,2026-09-10T11:23:01.274480,wildlifecam10/2026-09-10/112301.jpg,0.856,0.0024,0,776.5,1,2026-09-10T11:23:01.274480,2026-09-10T11:23:01.274480
104,0.188,wildlifecam10,2026-09-10T07:10:13.896067,wildlifecam10/2026-09-10/071013.jpg,0.927,0.0027,0,542.3,18,2026-09-10T07:09:09.847278,2026-09-10T07:11:34.857832
105,0.188,wildlifecam4,2026-09-02T08:56:21.186348,wildlifecam4/2026-09-02/085621.jpg,0.830,0.0026,0,1355.5,3,2026-09-02T08:56:21.186348,2026-09-02T08:56:35.956288
106,0.187,wildlifecam4,2026-08-28T06:54:10.950136,wildlifecam4/2026-08-28/065410.jpg,0.812,0.0026,0,740.5,2,2026-08-28T06:54:08.537250,2026-08-28T06:54:10.950136
107,0.183,wildlifecam4,2026-08-25T09:56:59.474596,wildlifecam4/2026-08-25/095659.jpg,0.847,0.0023,0,1073.7,2,2026-08-25T09:56:59.474596,2026-08-25T09:57:02.141760
108,0.183,wildlifecam4,2026-08-28T06:56:15.965098,wildlifecam4/2026-08-28/065615.jpg,0.830,0.0024,0,774.8,2,2026-08-28T06:56:15.965098,2026-08-28T06:56:22.310961
109,0.182,wildlifecam10,2026-08-28T07:15:08.118999,wildlifecam10/2026-08-28/071508.jpg,0.855,0.0023,0,658.4,1,2026-08-28T07:15:08.118999,2026-08-28T07:15:08.118999
110,0.182,wildlifecam4,2026-09-04T12:07:39.060888,wildlifecam4/2026-09-04/120739.jpg,0.851,0.0023,0,1186.6,1,2026-09-04T12:07:39.060888,2026-09-04T12:07:39.060888
111,0.181,wildlifecam4,2026-09-11T07:58:17.041113,wildlifecam4/2026-09-11/075817.jpg,0.932,0.0019,0,959.3,2,2026-09-11T07:58:17.041113,2026-09-11T07:58:19.972615
112,0.181,wildlifecam4,2026-08-28T07:15:09.915142,wildlifecam4/2026-08-28/071509.jpg,0.868,0.0022,0,1045.6,3,2026-08-28T07:15:07.760064,2026-08-28T07:15:12.356356
113,0.178,wildlifecam4,2026-09-07T08:02:25.756627,wildlifecam4/2026-09-07/080225.jpg,0.960,0.0191,0,93.3,3,2026-09-07T08:02:23.582997,2026-09-07T08:02:36.825901
114,0.178,wildlifecam10,2026-08-31T07:57:13.127378,wildlifecam10/2026-08-31/075713.jpg,0.868,0.0021,0,1333.0,2,2026-08-31T07:57:13.127378,2026-08-31T07:57:15.166858
115,0.175,wildlifecam4,2026-09-10T07:14:51.269355,wildlifecam4/2026-09-10/071451.jpg,0.805,0.0024,0,902.1,4,2026-09-10T07:14:47.006588,2026-09-10T07:15:04.017136
116,0.174,wildlifecam10,2026-08-29T06:54:30.672029,wildlifecam10/2026-08-29/065430.jpg,0.967,0.0563,1,48.4,2,2026-08-29T06:54:28.635970,2026-08-29T06:54:30.672029
117,0.171,wildlifecam10,2026-09-10T11:30:36.046390,wildlifecam10/2026-09-10/113036.jpg,0.822,0.0022,0,1260.7,1,2026-09-10T11:30:36.046390,2026-09-10T11:30:36.046390
118,0.169,wildlifecam4,2026-09-09T06:52:35.119408,wildlifecam4/2026-09-09/065235.jpg,0.831,0.0021,0,779.0,2,2026-09-09T06:52:20.893751,2026-09-09T06:52:35.119408
119,0.169,wildlifecam10,2026-09-10T07:14:58.976609,wildlifecam10/2026-09-10/071458.jpg,0.901,0.0022,0,553.9,3,2026-09-10T07:14:54.638243,2026-09-10T07:14:58.976609
120,0.166,wildlifecam4,2026-09-12T07:28:32.551520,wildlifecam4/2026-09-12/072832.jpg,0.849,0.0023,0,568.1,3,2026-09-12T07:28:28.225657,2026-09-12T07:29:28.739128
121,0.163,wildlifecam4,2026-09-07T11:04:43.809200,wildlifecam4/2026-09-07/110443.jpg,0.810,0.0024,0,572.6,1,2026-09-07T11:04:43.809200,2026-09-07T11:04:43.809200
122,0.157,wildlifecam10,2026-09-06T08:19:06.641275,wildlifecam10/2026-09-06/081906.jpg,0.949,0.0055,0,312.3,3,2026-09-06T08:19:00.742040,2026-09-06T08:19:06.641275
123,0.153,wildlifecam10,2026-09-05T10:21:41.756255,wildlifecam10/2026-09-05/102141.jpg,0.834,0.0017,0,1176.7,20,2026-09-05T10:21:07.319442,2026-09-05T10:21:47.844539
124,0.152,wildlifecam10,2026-09-04T12:17:04.343391,wildlifecam10/2026-09-04/121704.jpg,0.869,0.0015,0,836.7,7,2026-09-04T12:16:50.953192,2026-09-04T12:17:04.343391
125,0.152,wildlifecam10,2026-09-10T07:21:29.843150,wildlifecam10/2026-09-10/072129.jpg,0.957,0.0061,0,284.3,8,2026-09-10T07:21:14.049327,2026-09-10T07:21:33.892376
126,0.151,wildlifecam4,2026-09-12T10:15:02.893569,wildlifecam4/2026-09-12/101502.jpg,0.925,0.0028,0,431.0,1,2026-09-12T10:15:02.893569,2026-09-12T10:15:02.893569
127,0.147,wildlifecam4,2026-09-12T07:33:54.739376,wildlifecam4/2026-09-12/073354.jpg,0.836,0.0056,0,328.0,1,2026-09-12T07:33:54.739376,2026-09-12T07:33:54.739376
128,0.145,wildlifecam4,2026-09-10T13:36:23.725601,wildlifecam4/2026-09-10/133623.jpg,0.916,0.0140,0,177.8,1,2026-09-10T13:36:23.725601,2026-09-10T13:36:23.725601
129,0.144,wildlifecam4,2026-08-30T09:25:02.441208,wildlifecam4/2026-08-30/092502.jpg,0.845,0.0015,0,748.7,13,2026-08-30T09:25:00.290895,2026-08-30T09:26:23.763163
130,0.141,wildlifecam4,2026-09-12T12:28:20.253318,wildlifecam4/2026-09-12/122820.jpg,0.925,0.0028,0,404.1,1,2026-09-12T12:28:20.253318,2026-09-12T12:28:20.253318
131,0.138,wildlifecam10,2026-09-05T08:02:38.680157,wildlifecam10/2026-09-05/080238.jpg,0.932,0.0038,0,334.4,5,2026-09-05T08:02:36.677587,2026-09-05T08:02:44.763777
132,0.138,wildlifecam4,2026-08-25T09:53:49.374910,wildlifecam4/2026-08-25/095349.jpg,0.815,0.0014,0,1034.3,1,2026-08-25T09:53:49.374910,2026-08-25T09:53:49.374910
133,0.128,wildlifecam10,2026-09-07T11:04:54.506012,wildlifecam10/2026-09-07/110454.jpg,0.916,0.0014,0,527.8,3,2026-09-07T11:04:48.434336,2026-09-07T11:04:54.506012
134,0.127,wildlifecam4,2026-08-26T09:26:47.748000,wildlifecam4/2026-08-26/training/train_092647_748.jpg,0.822,0.0012,0,1220.6,2,2026-08-26T09:26:46.629000,2026-08-26T09:26:47.748000
135,0.125,wildlifecam4,2026-09-08T08:29:39.348352,wildlifecam4/2026-09-08/082939.jpg,0.807,0.0014,0,579.7,2,2026-09-08T08:29:32.938633,2026-09-08T08:29:39.348352
136,0.123,wildlifecam4,2026-09-08T16:54:00.232798,wildlifecam4/2026-09-08/165400.jpg,0.850,0.0037,1,551.0,1,2026-09-08T16:54:00.232798,2026-09-08T16:54:00.232798
137,0.121,wildlifecam4,2026-09-09T13:53:07.552553,wildlifecam4/2026-09-09/135307.jpg,0.900,0.0100,0,134.5,1,2026-09-09T13:53:07.552553,2026-09-09T13:53:07.552553
